2023 Nov 1-21,5,27,83
2023 Oct 2-23,5,35,75
2023 Sep 1-23,5,39,86
2023 Aug 1-23,3,39,87
2023 Jul 3-27,2,38,86
2023 Jun 1-23,6,41,82
2023 May 1-24,4,33,84
2023 Apr 3-25,4,31,83
2023 Mar 1-23,3,35,87
2023 Feb 1-23,6,40,80
2023 Jan 2-22,4,36,81
2022 Nov 9-Dec 2,6,37,85
2022 Oct 3-20,4,39,85
2022 Sep 1-16,7,39,86
2022 Aug 1-23,4,40,81
2022 Jul 5-26,5,31,78
2022 Jun 1-20,3,36,85
2022 May 2-22,3,39,82
2022 Apr 1-19,5,35,84
2022 Mar 1-18,5,38,84
2022 Feb 1-17,7,35,79
2022 Jan 3-16,5,33,82
2021 Dec 1-16,5,40,78
2021 Nov 1-16,6,37,90
2021 Oct 1-19,4,34,92
2021 Sep 1-17,6,37,90
2021 Aug 2-17,7,43,93
2021 Jul 6-21,12,48,90
2021 Jun 1-18,11,55,95
2021 May 3-18,8,54,92
2021 Apr 1-21,11,58,94
2021 Mar 1-15,8,50,94
2021 Feb 3-18,12,53,96
2021 Jan 21-Feb 2,11,61,98
